longitude,latitude,addr:housenumber,addr:street,addr:county,addr:postcode,addr:city,source
46489.9035,259292.2832,199,Wise Hill Lane,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46749.1218,258789.4558,54,Wise Hill Lane,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46684.8852,258788.4241,58,Wise Hill Lane,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46851.5727,258779.5096,146,Crattan Hill Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46759.7308,258757.8159,56,Wise Hill Lane,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46917.6342,258749.6908,144,Crattan Hill Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46993.9247,258722.3994,11,Wise Hill Lane,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46860.7221,258609.0451,138,Crattan Hill Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46945.9046,258430.2969,74,Crattan Hill Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46947.9547,258352.42,64,Crattan Hill Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46959.2587,258305.3934,54,Crattan Hill Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46962.4951,258239.8088,36,Crattan Hill Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
47039.6343,258195.9663,15,Crattan Hill Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46972.7345,258193.8623,26,Crattan Hill Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46586.5328,258145.328,506,Summit Church Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46987.3207,258098.3178,650,Summit Church Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46592.5036,258086.9238,513,Summit Church Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46955.9747,258042.0543,620,Summit Church Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46688.0545,258032.1129,551,Summit Church Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46812.882,258021.0446,576,Summit Church Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46930.9821,258011.2696,616,Summit Church Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
47637.3587,257991.8366,829,Summit Church Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46616.8572,257959.8222,519,Summit Church Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46873.633,257939.5345,593,Summit Church Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46798.8292,257927.7129,575,Summit Church Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46694.726,257908.1235,557,Summit Church Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
47888.2066,257810.6405,901,Summit Church Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
48022.0346,257856.8605,929,Summit Church Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
48174.8078,257744.3776,967,Summit Church Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46542.9864,257967.6907,507,Summit Church Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46563.4848,258581.3838,140,Crattan Hill Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46884.3202,257992.1333,600,Summit Church Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
46786.5962,258747.9879,148,Crattan Hill Road,Augusta County,22841,Mount Solon,VGIN Virginia Address Points
